riscv-c-01-heap-buffer-over-read,0x10294
riscv-c-02-heap-buffer-over-write,0x102a8
riscv-c-03-heap-buffer-under-write,0x1029c
riscv-c-04-stack-buffer-over-write,0x10240
riscv-c-05-oob-pointer-arithmetic,0x102bc
riscv-c-06-use-after-free,0x102a4
riscv-c-07-double-free,0x10290
riscv-c-08-type-confusion,0x1023c
riscv-c++-01-heap-buffer-over-read,0x109d4
riscv-c++-02-heap-buffer-over-write,0x109d0
riscv-c++-03-heap-buffer-under-write,0x109d0
riscv-c++-04-stack-buffer-over-write,0x10264
riscv-c++-05-oob-pointer-arithmetic,0x102d0
riscv-c++-06-use-after-free,0x109dc
riscv-c++-07-double-free,0x102d4
riscv-c++-08-type-confusion,0x10260
